id,name,category,price,cost,popularity,tags,isVeg
1,Vada Pav,Starters,40,15,0.91,Spicy,true
2,Pav Bhaji,Main Course,140,60,0.88,Spicy,true
3,Misal Pav,Starters,130,55,0.86,Spicy,true
4,Masala Fries,Sides,90,30,0.84,Hot,true
5,Mango Lassi,Beverages,120,45,0.83,Sweet,true
6,Garlic Naan,Starters,110,40,0.81,Hot,true
7,Lemon Soda,Beverages,70,20,0.80,Tangy,true
8,Cold Coffee,Beverages,140,50,0.87,Cold,true
9,Veg Kathi Roll,Starters,120,45,0.85,Spicy,true
10,Iced Lemon Tea,Beverages,100,35,0.79,Cold,true
11,Paneer Burger Combo,Combos,199,105,0.82,Hot,true
12,Pizza Garlic Bread Combo,Combos,299,180,0.78,Cheesy,true
13,Fries Coffee Combo,Combos,149,70,0.80,Hot,true
14,Wrap Iced Tea Combo,Combos,159,70,0.77,Cold,true
15,Burger Fries Coke Combo,Combos,349,165,0.83,Spicy,true
16,Masala Chaas,Beverages,60,20,0.75,Cold,true
17,Strawberry Milkshake,Beverages,160,60,0.74,Sweet,true
18,Gulab Jamun,Desserts,120,50,0.90,Sweet,true
19,Chicken Seekh Kebab,Starters,220,100,0.82,Spicy,false
20,Rasmalai,Desserts,140,60,0.85,Sweet,true
21,Chocolate Milkshake,Beverages,170,70,0.81,Sweet,true
22,Ice Cream Sundae,Desserts,160,70,0.79,Sweet,true
23,Buttermilk,Beverages,50,15,0.84,Cold,true
24,Orange Juice,Beverages,120,45,0.77,Sweet,true
25,Kaju Katli,Desserts,200,100,0.88,Sweet,true
26,Chicken Biryani,Main Course,260,120,0.91,Spicy,false
27,Mutton Biryani,Main Course,320,160,0.87,Spicy,false
28,Paneer Butter Masala,Main Course,240,110,0.89,Cheesy,true
29,Chocolate Brownie,Desserts,180,80,0.83,Sweet,true
30,Butter Chicken,Main Course,300,150,0.92,Cheesy,false
31,Chicken Shawarma,Beverages,190,80,0.88,Spicy,false
32,Vanilla Milkshake,Beverages,150,60,0.80,Sweet,true
33,Paneer Tikka,Starters,230,100,0.86,Spicy,true
34,Veg Pulao,Main Course,180,70,0.78,Spicy,true
35,Aloo Paratha,Main Course,90,35,0.82,Hot,true
36,Chicken Curry,Main Course,260,120,0.84,Spicy,false
37,Fish Curry,Main Course,280,140,0.79,Spicy,false
38,Masala Soda,Beverages,80,25,0.76,Tangy,true
39,Lemon Mint Cooler,Beverages,110,40,0.77,Cold,true
40,Pineapple Juice,Beverages,130,45,0.81,Sweet,true
41,Carrot Halwa,Desserts,170,80,0.85,Sweet,true
42,Chocolate Cake,Desserts,220,100,0.86,Sweet,true
43,Spring Rolls,Starters,180,70,0.83,Hot,true
44,Cheese Balls,Starters,190,75,0.84,Cheesy,true
45,Iced Latte,Beverages,150,60,0.80,Cold,true
46,Kulfi,Desserts,120,50,0.82,Sweet,true
47,Strawberry Cheesecake,Desserts,240,110,0.85,Sweet,true
48,Green Tea,Beverages,90,30,0.73,Hot,true
49,Fried Rice,Main Course,170,65,0.80,Spicy,true
50,Chicken Fried Rice,Main Course,210,95,0.82,Spicy,false
51,Hakka Noodles,Main Course,180,70,0.81,Spicy,true
52,Chicken Noodles,Main Course,220,100,0.84,Spicy,false
53,Manchurian Balls,Main Course,190,80,0.83,Spicy,true
54,Chicken Manchurian,Main Course,240,110,0.86,Spicy,false
55,Paneer Fried Rice,Main Course,200,90,0.82,Spicy,true
56,Aloo Tikki,Starters,100,40,0.87,Spicy,true
57,Chocolate Ice Cream,Desserts,120,50,0.83,Sweet,true
58,Vanilla Ice Cream,Desserts,110,45,0.82,Sweet,true
59,Strawberry Ice Cream,Desserts,120,50,0.80,Sweet,true
60,Black Forest Cake,Desserts,230,110,0.86,Sweet,true
61,Red Velvet Cake,Desserts,250,120,0.87,Sweet,true
62,Tiramisu,Desserts,260,130,0.84,Sweet,true
63,Espresso,Beverages,120,45,0.78,Hot,true
64,Cappuccino,Beverages,150,60,0.80,Hot,true
65,Latte,Beverages,150,60,0.81,Hot,true
66,Mocha,Beverages,160,65,0.82,Hot,true
67,Hot Chocolate,Beverages,170,70,0.85,Sweet,true
68,Nachos,Starters,180,80,0.83,Cheesy,true
69,Cheese Nachos,Starters,200,90,0.84,Cheesy,true
70,Onion Rings,Starters,160,70,0.82,Hot,true
71,Loaded Fries,Sides,190,80,0.85,Cheesy,true
72,Cheese Garlic Bread,Starters,180,75,0.87,Cheesy,true
73,Paneer Wrap,Starters,170,70,0.83,Spicy,true
74,Chicken Wrap,Starters,190,80,0.84,Spicy,false
75,Falafel Wrap,Starters,180,70,0.86,Vegan,true
76,Hummus Pita Plate,Starters,200,90,0.85,Vegan,true
77,Chicken Kabab,Starters,230,110,0.88,Spicy,false
78,Grilled Chicken,Main Course,280,130,0.89,Spicy,false
79,Lamb Kabsa,Main Course,340,170,0.87,Spicy,false
80,Lamb Mandi,Main Course,360,180,0.88,Spicy,false
81,Knafeh,Desserts,220,100,0.83,Sweet,true
82,Baklava,Desserts,240,120,0.86,Sweet,true
83,Arabic Coffee,Beverages,130,50,0.78,Hot,true
84,Date Milkshake,Beverages,160,65,0.81,Sweet,true
85,Watermelon Juice,Beverages,120,40,0.82,Cold,true
86,Apple Juice,Beverages,130,45,0.80,Sweet,true
87,Kiwi Smoothie,Beverages,180,75,0.84,Cold,true
88,Berry Smoothie,Beverages,190,80,0.85,Cold,true
89,Chocolate Smoothie,Beverages,200,90,0.86,Sweet,true
90,Mango Smoothie,Beverages,180,75,0.84,Sweet,true
91,Paneer Pakora,Starters,180,70,0.83,Hot,true
92,Chicken Pakora,Starters,200,90,0.84,Hot,false
93,Aloo Pakora,Starters,140,55,0.82,Hot,true
94,Bread Pakora,Starters,150,60,0.83,Hot,true
95,Vegetable Cutlet,Starters,130,50,0.81,Hot,true
96,Chicken Cutlet,Starters,170,70,0.84,Hot,false
97,Paneer Sandwich,Starters,150,60,0.82,Cheesy,true
98,Chicken Sandwich,Starters,170,70,0.83,Hot,false
99,Club Sandwich,Starters,200,90,0.85,Hot,false
100,Veg Sandwich,Starters,120,45,0.80,Light,true
101,Tomato Soup,Starters,120,50,0.82,Hot,true
102,Sweet Corn Soup,Starters,130,55,0.83,Hot,true
103,Chicken Soup,Starters,150,65,0.84,Hot,false
104,Hot Sour Soup,Starters,140,60,0.83,Spicy,true
105,Minestrone Soup,Starters,150,65,0.81,Hot,true
106,Pasta Alfredo,Main Course,240,110,0.86,Cheesy,true
107,Pasta Arrabiata,Main Course,220,100,0.84,Spicy,true
108,Chicken Alfredo Pasta,Main Course,260,120,0.88,Cheesy,false
109,Lasagna,Main Course,280,130,0.87,Cheesy,true
110,Chicken Lasagna,Main Course,300,150,0.88,Cheesy,false
111,Margherita Pizza,Main Course,250,120,0.90,Cheesy,true
112,Farmhouse Pizza,Main Course,280,140,0.88,Cheesy,true
113,Chicken Pizza,Main Course,300,150,0.89,Cheesy,false
114,BBQ Chicken Pizza,Main Course,320,160,0.91,Spicy,false
115,Paneer Tikka Pizza,Main Course,290,140,0.89,Cheesy,true
116,Chocolate Donut,Desserts,120,50,0.83,Sweet,true
117,Sugar Donut,Desserts,110,45,0.81,Sweet,true
118,Strawberry Donut,Desserts,130,55,0.82,Sweet,true
119,Blueberry Muffin,Desserts,140,60,0.84,Sweet,true
120,Chocolate Muffin,Desserts,140,60,0.85,Sweet,true
121,Banana Muffin,Desserts,130,55,0.82,Sweet,true
122,Caramel Pudding,Desserts,150,65,0.83,Sweet,true
123,Chocolate Pudding,Desserts,160,70,0.84,Sweet,true
124,Vanilla Pudding,Desserts,140,60,0.81,Sweet,true
125,Strawberry Pudding,Desserts,150,65,0.82,Sweet,true
126,Oreo Shake,Beverages,180,75,0.86,Sweet,true
127,Kitkat Shake,Beverages,190,80,0.87,Sweet,true
128,Chocolate Oreo Shake,Beverages,200,90,0.88,Sweet,true
129,Banana Shake,Beverages,140,55,0.82,Sweet,true
130,Chikoo Shake,Beverages,150,60,0.81,Sweet,true
131,Almond Milkshake,Beverages,180,75,0.84,Sweet,true
132,Pista Milkshake,Beverages,180,75,0.84,Sweet,true
133,Roasted Corn,Sides,90,35,0.83,Hot,true
134,Cheese Corn,Sides,120,50,0.85,Cheesy,true
135,Butter Corn,Sides,110,45,0.84,Hot,true
136,Spicy Corn,Sides,110,45,0.83,Spicy,true
137,Chocolate Waffle,Desserts,200,90,0.86,Sweet,true
138,Strawberry Waffle,Desserts,210,95,0.87,Sweet,true
139,Blueberry Waffle,Desserts,220,100,0.88,Sweet,true
140,Caramel Waffle,Desserts,210,95,0.86,Sweet,true
141,Nutella Waffle,Desserts,230,110,0.89,Sweet,true
142,Classic Pancakes,Desserts,200,90,0.85,Sweet,true
143,Chocolate Pancakes,Desserts,220,100,0.87,Sweet,true
144,Blueberry Pancakes,Desserts,230,110,0.88,Sweet,true
145,Strawberry Pancakes,Desserts,220,100,0.87,Sweet,true
146,Caramel Pancakes,Desserts,210,95,0.86,Sweet,true
147,Nutella Pancakes,Desserts,240,110,0.90,Sweet,true
148,Chocolate Croissant,Desserts,180,80,0.84,Sweet,true
149,Butter Croissant,Desserts,160,70,0.83,Light,true
150,Almond Croissant,Desserts,190,85,0.85,Sweet,true
